Mol,Pol_C,Pol_A,RadV_C,RadV_A,CN_C,CN_A,Ion_C,Ion_A,EA_C,f1,f2,f3,f4
LiH,164.1,4.51,133,32,6,6,5.392,13.59,0.754,1163,85.3197,7.5916,3
NaH,162.7,4.51,155,32,6,6,5.139,13.59,0.754,1608,186.1052,7.5916,3
KH,289.7,4.51,196,32,6,6,4.341,13.59,0.754,4984.5,338.0207,7.5916,3
RbH,319.8,4.51,210,32,6,6,4.177,13.59,0.754,6138.7755,476.2591,7.5916,3
CsH,400.6,4.51,232,32,6,6,3.849,13.59,0.754,9330.7298,649.0924,7.5916,3
CsCl,400.6,14.6,232,99,8,8,3.849,12.96,3.617,9330.7298,649.0924,92.346,90.3985
LiCl,164.1,14.6,133,99,6,6,5.392,12.96,3.617,1163,85.3197,92.346,90.3985
CuI,46.5,32.9,112,133,4,4,7.726,10.451,3.059,337.1808,174.99,351.9667,358.4995
LiF,164.1,3.74,133,64,6,6,5.392,17.423,3.339,1163,85.3197,9.69,7.1341
ZnS,38.67,19.4,118,103,4,4,9.394,10.36,0,340.5213,153.45,134.006,125.81
CoO2,55,5.3,111,63,6,2,7.881,13.618,0.661,532.77,118.28,15.5,10.37
LiCoO2,164.1,5.3,133,63,6,3,6.6365,13.618,0.7075,1163,85.3197,15.5,10.37
Mg,71.2,71.2,160,160,8,0,7.646,0,1.31,683.3758,175.56,-1,-1
Na,162.7,162.7,157,157,8,0,5.139,0,0.93,1608,186.1052,-1,-1
Ca,160.8,160.8,200,200,8,0,6.113,0,1,2352.6862,343.33,-1,-1
Li,164.11,164.11,182,182,8,0,5.392,0,0.98,1163,85.3197,-1,-1
Ni,49,49,163,163,12,0,7.64,0,1.91,574.7436,141.8763,-1,-1
Mn,68,68,197,197,8,0,7.434,0,1.55,802.7484,113.8463,-1,-1
SnS2,53,19.4,140,103,6,2,7.344,10.36,1.2,627.5677,336.102,134.0066,125.81
LiSnS2,164,19.4,133,103,6,3,6.368,10.36,0.977,1163,85.3197,134.0066,125.81
