Mol,Pol_C,Pol_A,RadV_C,RadV_A,CN_C,Ion_C,Ion_A,EA_A,EA_C
LiH,164.1,4.51,182,110,6,5.392,13.59,72.8,59.6
NaH,162.7,4.51,227,110,6,5.139,13.59,72.8,52.8
KH,289.7,4.51,275,110,6,4.341,13.59,72.8,48.4
RbH,400.9,4.51,303,110,6,4.177,13.59,72.8,45.5
CsH,46.5,4.51,343,110,6,3.849,13.59,72.8,119.2
CsCl,46.5,0.56,343,175,6,3.849,17.423,328,119.2
LiCl,164.1,0.56,152,175,6,5.392,17.423,328,59.6
CuI,46.5,6.35,140,198,4,7.726,10.451,295,119.2
Mg,71.2,71.2,160,160,8,7.646,7.646,,0
Li,164.1,164.1,152,152,8,5.392,5.392,,59.6
Na,162.7,162.7,186,186,8,5.139,5.139,,52.8
Cu,46.5,46.5,128,128,12,7.726,7.726,,119.2
