Symbol,Polarizability
H,4.50711
He,1.38375
Li,164.1125
Be,37.74
B,20.5
C,11.3
N,7.4
O,5.3
F,3.74
Ne,2.6611
Na,162.7
Mg,71.2
Al,57.8
Si,37.3
P,25
S,19.4
Cl,14.6
Ar,11.083
K,289.7
Ca,160.8
Sc,97
Ti,100
V,87
Cr,83
Mn,68
Fe,62
Co,55
Ni,49
Cu,46.5
Zn,38.67
Ga,50
Ge,40
As,30
Se,28.9
Br,21
Kr,16.78
Rb,319.8
Sr,197.2
Y,162
Zr,112
Nb,98
Mo,87
Tc,79
Ru,72
Rh,66
Pd,26.14
Ag,55
Cd,46
In,65
Sn,53
Sb,43
Te,38
I,32.9
Xe,27.32
Cs,400.9
Ba,272
La,215
Ce,205
Pr,216
Nd,208
Pm,200
Sm,192
Eu,184
Gd,158
Tb,170
Dy,163
Ho,156
Er,150
Tm,144
Yb,139
Lu,137
Hf,103
Ta,74
W,68
Re,62
Os,57
Ir,54
Pt,48
Au,36.06
Hg,33
Tl,66
Pb,57
Bi,53
Po,43
At,37
Rn,32
Fr,487
Ra,330
Ac,282
Th,240
Pa,200
U,180
Np,160
Pu,145
Am,130
Cm,120
