Compound,Value
LiH,2.2364734040607512
NaH,1.515676254920802
KH,1.3068326098602472
RbH,0.9742142249061556
CsH,0.8433828106936577
CsCl,0.20900393358144875
LiCl,1.4293448840538212
CuI,0.1315108016032064
LiF,1.7200348096192388
ZnS,0.5119690661322643
CoO2,0.11982152303905716
LiCoO2,3.927326513026051
Mg,0.4273385771795988
Na,0.5917918684254588
Cu,0.796383647294589
Ca,0.9060550701402804
Li,0.864766633266533
Al,0.41761535070140277
Ni,1.5382072945891787
Mn,1.2764930060120239
SnS2,0.11566725450964484
LiSnS2,0.3294052505069
BaCl2,0.4208616032112737
C,2.9296509993359114
